asset,type,risk_level,landslide_hit,debris_hit,lake_hit
富民社區活動中心,W3_shelter,MEDIUM,Y,N,N
光復自強外役監獄,W3_shelter,MEDIUM,Y,N,N
大富國小,W3_shelter,MEDIUM,Y,N,N
大興活動中心,W3_shelter,HIGH,Y,N,N
砂荖活動中心,W3_shelter,HIGH,Y,N,N
太巴塱國小,W3_shelter,HIGH,Y,N,N
大同活動中心,W3_shelter,HIGH,Y,N,N
光復鄉公所,W3_shelter,MEDIUM,Y,N,N
光復國中,W3_shelter,MEDIUM,Y,N,N
馬太鞍社區活動中心,W3_shelter,MEDIUM,Y,N,N
萬榮鄉立幼兒園,W3_shelter,LOW,Y,N,N
鳳信社區活動中心,W3_shelter,LOW,Y,N,N
鳳義社區活動中心,W3_shelter,HIGH,Y,N,N
Guangfu_Station,critical_infra,N/A,Y,N,N
Guangfu_Elementary,shelter,N/A,Y,N,N
Guangfu_Township_Office,shelter,N/A,Y,N,N
Foxu_Debris_Zone,critical_infra,N/A,Y,N,N
和平國小,W3_shelter,MEDIUM,N,N,N
豐南社區活動中心,W3_shelter,HIGH,N,N,N
玉寶宮,W3_shelter,HIGH,N,N,N
永豐社區活動中心,W3_shelter,HIGH,N,N,N
富里老人文康中心,W3_shelter,HIGH,N,N,N
石平社區活動中心,W3_shelter,HIGH,N,N,N
富里鄉公所2樓,W3_shelter,MEDIUM,N,N,N
石牌社區活動中心,W3_shelter,HIGH,N,N,N
明里社區活動中心,W3_shelter,MEDIUM,N,N,N
羅山縱管處,W3_shelter,HIGH,N,N,N
古風國小,W3_shelter,HIGH,N,N,N
崙天社區活動中心,W3_shelter,HIGH,N,N,N
新興竹田聯合社區活動中心,W3_shelter,MEDIUM,N,N,N
萬寧社區活動中心,W3_shelter,MEDIUM,N,N,N
東里社區活動中心,W3_shelter,MEDIUM,N,N,N
長良社區活動中心,W3_shelter,HIGH,N,N,N
清水社區活動中心,W3_shelter,HIGH,N,N,N
吳江社區活動中心,W3_shelter,HIGH,N,N,N
卓樂社區活動中心,W3_shelter,HIGH,N,N,N
樂合社區活動中心,W3_shelter,HIGH,N,N,N
源城社區活動中心,W3_shelter,HIGH,N,N,N
玉里慈惠堂,W3_shelter,MEDIUM,N,N,N
中正堂,W3_shelter,LOW,N,N,N
東豐社區活動中心,W3_shelter,HIGH,N,N,N
卓溪多功能活動中心,W3_shelter,HIGH,N,N,N
大禹社區活動中心,W3_shelter,LOW,N,N,N
觀音社區活動中心,W3_shelter,HIGH,N,N,N
太平國小,W3_shelter,HIGH,N,N,N
太平社區活動中心,W3_shelter,HIGH,N,N,N
松浦社區活動中心,W3_shelter,HIGH,N,N,N
三民社區活動中心,W3_shelter,HIGH,N,N,N
古楓社區活動中心,W3_shelter,HIGH,N,N,N
立山社區活動中心,W3_shelter,HIGH,N,N,N
崙山國小,W3_shelter,LOW,N,N,N
崙山社區活動中心,W3_shelter,LOW,N,N,N
春日社區活動中心,W3_shelter,HIGH,N,N,N
舞鶴社區活動中心,W3_shelter,LOW,N,N,N
靜浦國小大禮堂,W3_shelter,HIGH,N,N,N
德武里原住民多功能活動中心,W3_shelter,HIGH,N,N,N
港口活動中心,W3_shelter,MEDIUM,N,N,N
瑞穗青蓮寺,W3_shelter,HIGH,N,N,N
花蓮縣鶴岡國民小學,W3_shelter,HIGH,N,N,N
